name,lat,lon,str
MCDONALD'S 16011 WILLETS POINT BOULEVARD New York NY 11357,40.780748,-73.802319,"{lng=-73.802319, lat=40.780748}"
PERKINS FAMILY RESTAURANT & BAKERY 1745 FOREST AVENUE New York NY 10303,40.625178,-74.146976,"{lng=-74.146976, lat=40.625178}"
MAMA LUCIA 1701 FOSTER AVENUE New York NY 11230,40.6351394,-73.9611642,"{lng=-73.9611642, lat=40.6351394}"
COLISEUM BAR RESTAURANT 312 WEST 58 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
MARIELLA PIZZA 180 3 AVENUE New York NY 10003,40.7322535,-73.9874105,"{lng=-73.9874105, lat=40.7322535}"
VINNY'S PIZZA 19901 32 AVENUE New York NY 11358,40.760743,-73.7977928,"{lng=-73.7977928, lat=40.76074300000001}"
LA BARAKA RESTAURANT 255-09 NORTHERN BOULEVARD New York NY 11362,40.7723579,-73.734425,"{lng=-73.734425, lat=40.7723579}"
DAIRY LUNCHEONETTE 4801 16 AVENUE New York NY 11204,40.6195067,-73.9859414,"{lng=-73.9859414, lat=40.6195067}"
ZAFI'S LUNCHEONETTE 500 GRAND STREET New York NY 10002,40.7150766,-73.9828058,"{lng=-73.9828058, lat=40.7150766}"
LA PALINA RESTAURANT 159 AVENUE O New York NY 11204,40.611024,-73.978877,"{lng=-73.978877, lat=40.611024}"
B T G. ENTERPRISES 5505 CHURCH AVENUE New York NY 11203,40.652682,-73.925412,"{lng=-73.925412, lat=40.652682}"
EXCLUSIVE CATERING 275 MARTLING AVE New York NY 10314,40.6211314,-74.1229328,"{lng=-74.1229328, lat=40.6211314}"
MCDONALD'S 3660 EAST TREMONT AVENUE New York NY 10465,40.8276846,-73.8233981,"{lng=-73.82339809999999, lat=40.8276846}"
BURGER KING 92-83 QUEENS BOULEVARD New York NY 11374,40.7319498,-73.866461,"{lng=-73.866461, lat=40.7319498}"
DAZIES RESTAURANT 39-41 QUEENS BOULEVARD New York NY 11104,40.744085,-73.9252076,"{lng=-73.9252076, lat=40.744085}"
TRIESTES RESTAURANT 7316 NORTHERN BOULEVARD New York NY 11372,40.7546412,-73.8935518,"{lng=-73.8935518, lat=40.75464119999999}"
MURALS ON 54/RANDOLPHS'S 65 WEST 54 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
SHABU-SHABU 70 RESTAURANT 314 EAST 70 STREET New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}"
CHEN'S CHINESE 1434 RICHMOND ROAD New York NY 10304,40.594194,-74.098706,"{lng=-74.09870599999999, lat=40.594194}"
RACQUET & TENNIS CLUB 370 PARK AVENUE New York NY 10022,40.7588047,-73.9732838,"{lng=-73.97328379999999, lat=40.7588047}"
CASA PEPE 114 BAYRIDGE AVENUE New York NY 11220,40.6385229,-74.0153231,"{lng=-74.0153231, lat=40.6385229}"
OLYMPIC RESTAURANT 115 DELANCEY STREET New York NY 10002,40.7182566,-73.9881462,"{lng=-73.9881462, lat=40.7182566}"
KEENS STEAKHOUSE 72 East 36th Street New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}"
READY PENNY INN 3707 73 STREET New York NY 11372,40.7527924,-73.8801301,"{lng=-73.8801301, lat=40.7527924}"
SHUN LEE 37 WEST 65 STREET New York NY 10023,40.7769059,-73.9800645,"{lng=-73.9800645, lat=40.7769059}"
BRIDGEVIEW DINER 9011 THIRD AVENUE New York NY 11209,40.620557,-74.031696,"{lng=-74.031696, lat=40.620557}"
PRIMAVERA PIZZA & PASTA 1005 2 AVENUE New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
TONY'S PIER RESTAURANT 1 CITY ISLAND AVE New York NY 10464,40.8374725,-73.7830935,"{lng=-73.78309349999999, lat=40.8374725}"
QUALITY CAFE & RESTAURANT 2942 WESTCHESTER AVENUE New York NY 10461,40.847101,-73.832183,"{lng=-73.832183, lat=40.84710099999999}"
LA MEDITERRANEE RESTAURANT 947 2 AVENUE New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
EL CARIBE 5945 STRICKLAND AVENUE New York NY 11234,40.6087346,-73.9153514,"{lng=-73.91535139999999, lat=40.6087346}"
OMEN JAPANESE CUISINE 113 THOMPSON STREET New York NY 10012,40.7260047,-74.0019729,"{lng=-74.0019729, lat=40.7260047}"
MCDONALD'S 82 COURT STREET New York NY 11201,40.6913932,-73.9917897,"{lng=-73.9917897, lat=40.6913932}"
ROSIE O'GRADY RESTAURANT 800 7 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
DJ REYNOLDS PUB AND RESTAURANT 351 WEST 57 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
INTERCONTINENTAL THE BARCLAY 111 EAST 48 STREET New York NY 10017,40.7519846,-73.9697795,"{lng=-73.9697795, lat=40.7519846}"
